Roadway Name,Date,AM,PM
Richmond Rd,2012-01-17,373.1666666666667,791.0833333333334
SCHENCK AVENUE,2012-01-17,69.41666666666667,137.75
SEAVIEW AVENUE,2012-01-17,113.04166666666666,174.66666666666669
STANLEY AVENUE,2012-01-17,90.75,134.875
Shore Blvd,2012-01-17,174,276.125
Shore Pkwy,2012-01-17,37.083333333333336,88.5
Shore Pkwy North,2012-01-17,109.1111111111111,238.5
Shore Pkwy South,2012-01-17,272.3333333333333,494.4166666666667
Shore Rd,2012-01-17,52.875,68.08333333333333
Snyder Ave,2012-01-17,195.91666666666669,349.41666666666663
Stillwell Ave,2012-01-17,98.625,178.79166666666669
VETERANS AVENUE,2012-01-17,70.875,123.66666666666666
Winthrop St,2012-01-17,136.375,257.1666666666667
4th Ave,2012-01-18,317.2916666666667,485.29166666666663
5 AVENUE,2012-01-18,540.4583333333333,807.3333333333333
AMBOY ROAD,2012-01-18,169.70833333333334,307.04166666666663
Ave H,2012-01-18,96.10416666666667,154.83333333333331
BAY RIDGE AVENUE,2012-01-18,47.63888888888889,94.25
Clarkson Ave,2012-01-18,175.16666666666666,308.04166666666663
HYLAN BOULEVARD,2012-01-18,611.375,1004.5833333333334
Hylan Blvd,2012-01-18,330.8333333333333,525.2083333333334
MC DONALD AVENUE,2012-01-18,153.90277777777777,270.48611111111114
NEW LOTS AVENUE,2012-01-18,130.20833333333334,228.16666666666666
NEW UTRECHT AVENUE,2012-01-18,119.31249999999999,229.54166666666669
NEW YORK AVENUE,2012-01-18,133.02083333333334,244.39583333333331
ORIENTAL BOULEVARD,2012-01-18,85.625,133.54166666666666
REMSEN AVENUE,2012-01-18,176.66666666666669,292
Remsen Ave,2012-01-18,397.9583333333333,570.0833333333333
Richmond Rd,2012-01-18,383.0833333333333,814.8333333333334
SCHENCK AVENUE,2012-01-18,83.41666666666667,155.33333333333334
SEAVIEW AVENUE,2012-01-18,111.45833333333334,180.45833333333334
STANLEY AVENUE,2012-01-18,86.875,143.75
Shore Blvd,2012-01-18,178,287.6666666666667
Shore Pkwy,2012-01-18,46.583333333333336,93.58333333333333
Shore Pkwy North,2012-01-18,104.11111111111113,250.6111111111111
Shore Pkwy South,2012-01-18,259.75,549.4166666666666
Shore Rd,2012-01-18,50.125,67.29166666666667
Snyder Ave,2012-01-18,187.75,352.625
Stillwell Ave,2012-01-18,101.33333333333334,159.20833333333334
VETERANS AVENUE,2012-01-18,72.20833333333334,123.5
Winthrop St,2012-01-18,160.625,263.6666666666667
4th Ave,2012-01-19,323.41666666666663,480.375
6 AVENUE,2012-01-19,610.125,737.75
AMBOY ROAD,2012-01-19,162.58333333333334,261.625
Ave H,2012-01-19,94.60416666666666,151.60416666666669
BAY RIDGE AVENUE,2012-01-19,52.111111111111114,92.80555555555556
Clarkson Ave,2012-01-19,203.08333333333331,305.7083333333333
HYLAN BOULEVARD,2012-01-19,594.9166666666666,1042.7916666666667
Hylan Blvd,2012-01-19,322.1666666666667,528.1666666666666
MC DONALD AVENUE,2012-01-19,151.29166666666666,262.625
NEW LOTS AVENUE,2012-01-19,130.08333333333334,221.75
NEW UTRECHT AVENUE,2012-01-19,121.125,232.10416666666669
NEW YORK AVENUE,2012-01-19,139.6875,240.5
ORIENTAL BOULEVARD,2012-01-19,88.08333333333334,114.79166666666667
REMSEN AVENUE,2012-01-19,180.66666666666666,295.0416666666667
Remsen Ave,2012-01-19,356.5833333333333,576.5833333333333
Richmond Rd,2012-01-19,384.25,822.8333333333334
SCHENCK AVENUE,2012-01-19,73.66666666666667,138
SEAVIEW AVENUE,2012-01-19,115.125,187.33333333333334
STANLEY AVENUE,2012-01-19,89.29166666666666,149.33333333333334
Shore Blvd,2012-01-19,173.20833333333334,280.5833333333333
Shore Pkwy,2012-01-19,34.333333333333336,77
Shore Pkwy North,2012-01-19,104.38888888888887,238.6388888888889
Shore Pkwy South,2012-01-19,266.5833333333333,543
Shore Rd,2012-01-19,49.16666666666667,74.75
Snyder Ave,2012-01-19,185.625,366.625
Stillwell Ave,2012-01-19,95.875,161.20833333333331
VETERANS AVENUE,2012-01-19,73.41666666666667,126.79166666666667
Winthrop St,2012-01-19,165.5,267.5
4th Ave,2012-01-20,318.6666666666667,538.6666666666666
7 AVENUE,2012-01-20,341.8333333333333,0
AMBOY ROAD,2012-01-20,164.875,336.125
Ave H,2012-01-20,71.47916666666667,0
BAY RIDGE AVENUE,2012-01-20,54.47222222222222,100.1388888888889
Clarkson Ave,2012-01-20,156.91666666666666,0
HYLAN BOULEVARD,2012-01-20,613.375,1106.9166666666667
Hylan Blvd,2012-01-20,329.08333333333337,544.8333333333334
MC DONALD AVENUE,2012-01-20,113.15277777777777,83.04166666666667
NEW LOTS AVENUE,2012-01-20,94.41666666666666,0
NEW UTRECHT AVENUE,2012-01-20,94.41666666666667,104.25
NEW YORK AVENUE,2012-01-20,107.18749999999999,0
ORIENTAL BOULEVARD,2012-01-20,43.04166666666667,81.83333333333333
REMSEN AVENUE,2012-01-20,23.25,0
Remsen Ave,2012-01-20,314.375,0
Richmond Rd,2012-01-20,373.75,822.25
